language,level,english,translation,category
DE,A1,Good morning.,Guten Morgen.,Daily Life
DE,A1,Good night.,Gute Nacht.,Daily Life
DE,A1,Hello.,Hallo.,Daily Life
DE,A1,Goodbye.,Auf Wiedersehen.,Daily Life
DE,A1,How are you?,Wie geht es dir?,Social & Relationships
DE,A1,I am fine.,Mir geht es gut.,Social & Relationships
DE,A1,What is your name?,Wie heißt du?,Social & Relationships
DE,A1,My name is Anna.,Ich heiße Anna.,Social & Relationships
DE,A1,I am tired.,Ich bin müde.,Daily Life
DE,A1,I am hungry.,Ich habe Hunger.,Daily Life
DE,A1,I am thirsty.,Ich habe Durst.,Daily Life
DE,A1,I live here.,Ich wohne hier.,Daily Life
DE,A1,I am at home.,Ich bin zu Hause.,Daily Life
DE,A1,I go to school.,Ich gehe zur Schule.,Daily Life
DE,A1,I go to work.,Ich gehe zur Arbeit.,Daily Life
DE,A1,I need help.,Ich brauche Hilfe.,Daily Life
DE,A1,Where is the station?,Wo ist der Bahnhof?,Travel
DE,A1,Where is the airport?,Wo ist der Flughafen?,Travel
DE,A1,I need a ticket.,Ich brauche ein Ticket.,Travel
DE,A1,I am traveling.,Ich reise.,Travel
DE,A1,I take the bus.,Ich nehme den Bus.,Travel
DE,A1,I take the train.,Ich nehme den Zug.,Travel
DE,A1,I am lost.,Ich habe mich verlaufen.,Travel
DE,A1,Turn left.,Links abbiegen.,Travel
DE,A1,Turn right.,Rechts abbiegen.,Travel
DE,A1,Go straight.,Geradeaus gehen.,Travel
DE,A1,How much is this?,Wie viel kostet das?,Food & Shopping
DE,A1,I want water.,Ich möchte Wasser.,Food & Shopping
DE,A1,I want food.,Ich möchte Essen.,Food & Shopping
DE,A1,I eat breakfast.,Ich frühstücke.,Food & Shopping
DE,A1,I eat lunch.,Ich esse Mittagessen.,Food & Shopping
DE,A1,I eat dinner.,Ich esse Abendessen.,Food & Shopping
DE,A1,I like this.,Ich mag das.,Daily Life
DE,A1,I do not like this.,Ich mag das nicht.,Daily Life
DE,A1,I am happy.,Ich bin glücklich.,Daily Life
DE,A1,I am sad.,Ich bin traurig.,Daily Life
DE,A1,I am okay.,Mir geht es gut.,Daily Life
DE,A1,I am busy.,Ich bin beschäftigt.,Daily Life
DE,A1,I have time.,Ich habe Zeit.,Daily Life
DE,A1,I do not understand.,Ich verstehe nicht.,Daily Life
DE,A1,Can you repeat?,Kannst du wiederholen?,Daily Life
DE,A1,I speak German.,Ich spreche Deutsch.,Daily Life
